Price,Close,High,Low,Open,Volume
Ticker,APLE,APLE,APLE,APLE,APLE
Date,,,,,
2022-08-24,13.52609920501709,13.63955909551634,13.404534815800025,13.453160262331837,1155900
2022-08-25,13.704394340515137,13.720603338898192,13.566620945809493,13.566620945809493,1222000
2022-08-26,13.242447853088379,13.744914404360362,13.234343354419467,13.67197700789029,1048500
2022-08-29,13.088464736938477,13.274863558559385,13.011474322558096,13.23434261325918,638300
2022-08-30,12.991212844848633,13.210028096626166,12.946638881001865,13.16140265687281,935400
2022-08-31,12.893959999084473,13.072254302882362,12.869647280000653,13.047942356685946,1239600
2022-09-01,12.69859790802002,12.788139021866646,12.539864910165262,12.731158383628154,1157100
2022-09-02,12.560218811035156,12.955014772840793,12.53172848484239,12.853263164264819,1570300
2022-09-06,12.60905647277832,12.670107269708282,12.393343605205583,12.600916159506857,1416200
2022-09-07,12.918383598327637,12.983504563023557,12.584638460185259,12.609058627870445,1794800
2022-09-08,12.885820388793945,12.98024600050951,12.698597848993181,12.788138962423593,962500
2022-09-09,13.154443740844727,13.243985625373886,12.959080899458618,13.048622783987778,1209300
2022-09-12,13.38237190246582,13.390512217408588,13.219568708823097,13.25212996859417,765600
2022-09-13,12.902103424072266,13.130026018530101,12.796281665000333,12.983504239763905,1487800
2022-09-14,13.048624992370605,13.068975000678815,12.804420234853742,12.926522613612173,2054200
2022-09-15,12.820697784423828,13.154442808889259,12.796277625056396,13.081181554484091,1590500
2022-09-16,12.828841209411621,12.950942812181314,12.531726740049793,12.706738830338871,2889300
2022-09-19,12.926522254943848,12.934662568562487,12.641617488715731,12.674177966887255,1360200
2022-09-20,12.812560081481934,12.865471343238735,12.714878647819024,12.812560081481934,1473700
2022-09-21,12.291592597961426,12.999783583617841,12.283452284306021,12.95094247798845,1367500
2022-09-22,11.876446723937988,12.291593432928046,11.725854016295406,12.275312804511294,1971500
2022-09-23,11.607824325561523,11.721785636546182,11.404321097313824,11.681085611939208,1907800
2022-09-26,11.29849624633789,11.677012271931774,11.225234979925785,11.526419582495446,2440200
2022-09-27,11.428738594055176,11.729923208255629,11.322916846962633,11.461299071906494,1779400
2022-09-28,11.900862693786621,11.970053787553518,11.453155662136275,11.5182766002342,1948500
2022-09-29,11.510140419006348,11.758413776732645,11.261866284977007,11.689222662804946,1872100
2022-09-30,11.445019721984863,11.721783407681183,11.420598780300406,11.542701159813516,2915000
2022-10-03,11.6331787109375,11.780433604365637,11.46138068511525,11.69044445948248,2338000
2022-10-04,12.14857292175293,12.156753185786782,11.837700263034314,11.837700263034314,2636100
2022-10-05,12.173115730285645,12.181296774813312,11.915418288975562,11.960413253690383,1827000
2022-10-06,12.197657585144043,12.312189863288229,12.074945042993878,12.16493418855818,1690800
2022-10-07,12.025861740112305,12.193569275568786,11.94405362389723,12.083128279669062,1677800
2022-10-10,11.935871124267578,12.185387525732091,11.899057203389622,12.099488116954404,1389200
2022-10-11,12.099486351013184,12.189475488810025,11.79679476367408,11.976773819455012,1187000
2022-10-12,12.295825004577637,12.389905431229009,11.9342316708011,12.058580237735974,1489600
2022-10-13,12.606703758239746,12.676241091852239,11.894969109599389,12.09949058726113,1398600
2022-10-14,12.459443092346191,12.942113712608402,12.365363437261106,12.811220143761812,2153200
2022-10-17,12.933937072753906,12.942117337957868,12.753957975080445,12.762139020471837,2585200
2022-10-18,13.171177864074707,13.318433514937091,13.11800186562454,13.122093167245373,3730300
2022-10-19,13.171177864074707,13.371607953012878,12.909389953631894,13.040283518759706,1686600
2022-10-20,13.130273818969727,13.55567872370398,13.036194938367114,13.261167395753418,2463600
2022-10-21,13.457513809204102,13.482055387801259,13.101645315794954,13.220268146931337,1879800
2022-10-24,13.457513809204102,13.6334024042339,13.412518834609266,13.498417480449389,2014500
